# x, y, omega
# 
461.887823 330.120714 -0.033267
458.306732 335.306726 -0.033136
454.343125 340.042329 -0.032792
449.712251 343.802859 -0.032234
444.940164 347.412583 -0.031456
440.033480 350.346811 -0.030473
434.894178 352.164524 -0.029302
429.803295 353.822112 -0.027952
423.362482 355.128781 -0.025923
417.375298 355.070216 -0.023700
411.728863 354.868407 -0.021343
406.782148 354.046862 -0.018909
401.614163 352.400983 -0.015864
397.428538 349.392745 -0.012917
393.183703 346.574032 -0.009586
389.332806 342.628557 -0.005615
386.643472 337.865712 -0.001569
385.272467 332.670423 0.001955
384.763020 327.648559 0.004436
384.270171 322.479900 0.006161
384.377285 317.328683 0.006905
384.836479 312.229620 0.007572
385.135186 307.216922 0.007800
385.809787 302.190986 0.007847
385.532895 297.109511 0.007834
384.563982 292.049513 0.008090
382.860902 287.330720 0.008758
380.122611 283.131510 0.009963
375.591171 280.850939 0.012012
370.532902 281.932065 0.014587
366.804329 285.617135 0.016905
364.841590 290.562355 0.018596
364.359718 295.865372 0.019859
365.213212 301.084613 0.020560
367.423623 306.012136 0.020644
371.165988 309.942672 0.019935
375.614005 312.632735 0.018449
380.655836 312.915550 0.016240
385.195463 310.287768 0.013594
388.427338 306.027303 0.010918
390.743911 301.550225 0.008824
391.712657 296.357021 0.007144
392.080773 291.159297 0.006379
392.489895 286.062590 0.005617
392.094207 280.740636 0.005196
390.978845 275.702379 0.005173
389.878928 270.225822 0.005419
388.256832 265.259761 0.005977
385.415568 260.968984 0.006824
381.129112 258.173523 0.008159
376.662278 255.686450 0.009945
371.653565 255.560660 0.011836
366.311851 256.555379 0.013958
361.391952 258.758386 0.016164
356.570016 262.042857 0.018314
352.487305 265.685641 0.020323
349.232818 269.806225 0.022066
346.088660 274.714900 0.023842
343.736077 280.158329 0.025615
342.277128 285.248823 0.026968
341.211522 290.741617 0.028236
341.059288 296.234835 0.029382
341.409786 302.214702 0.030354
342.609076 307.926595 0.031123
344.557918 313.846393 0.031639
347.103980 319.493223 0.031875
350.598288 324.353852 0.031810
354.496347 328.924168 0.031421
358.897399 332.418035 0.030719
363.554181 335.600352 0.029708
368.192615 338.003591 0.028419
374.103059 339.659138 0.026483
379.616279 340.654680 0.024250
384.628487 339.990166 0.021833
389.989126 339.285219 0.018808
394.871213 337.494884 0.015298
398.588472 334.034376 0.012010
402.453340 330.313670 0.007857
404.882831 325.560535 0.003916
405.901169 320.448171 0.000940
406.160518 315.439314 -0.000944
406.256498 310.111421 -0.002141
406.547043 304.811368 -0.002851
407.238026 299.539007 -0.003365
408.384917 294.413793 -0.003883
409.600342 288.982913 -0.004450
410.176139 283.898905 -0.004933
411.626772 278.809040 -0.005574
414.013956 274.150676 -0.006436
416.902546 269.894999 -0.007494
420.444036 266.056901 -0.008987
425.264971 264.214140 -0.010781
430.196953 263.127674 -0.012768
435.451991 264.290682 -0.014922
440.742763 266.271711 -0.017197
444.913724 269.431767 -0.019147
448.684490 273.118843 -0.020924
451.926014 277.525887 -0.022772
454.432317 282.207097 -0.024306
456.403562 287.296012 -0.025810
457.686064 293.315452 -0.027213
458.267976 298.505936 -0.028228
457.952610 303.570289 -0.029115
456.970907 309.087548 -0.029818
455.314804 314.208410 -0.030312
452.943842 319.603937 -0.030563
450.076800 324.668086 -0.030548
446.571608 328.945913 -0.030263
442.602552 333.120359 -0.029693
438.415001 336.661629 -0.028846
433.758153 339.215086 -0.027739
429.164716 341.482269 -0.026386
423.568203 342.972875 -0.024419
418.040571 343.906183 -0.022206
412.228674 343.939947 -0.019342
407.220222 342.279354 -0.016411
402.291777 340.503638 -0.013041
397.855152 337.512751 -0.009035
394.693259 333.098995 -0.004957
393.421563 328.017249 -0.002864
391.561999 323.029050 0.000137
390.582281 317.549670 0.002258
390.411532 312.327843 0.003181
390.379996 307.270181 0.004448
389.535330 302.116722 0.005188
388.373766 297.124986 0.005816
387.772350 291.942833 0.006253
386.416946 286.879317 0.006905
383.812159 282.582541 0.007751
381.263595 278.102361 0.008970
376.830489 275.111913 0.010805
371.563478 274.931087 0.013190
366.845129 276.819472 0.015423
362.686720 280.329056 0.017597
359.952333 284.720043 0.019291
358.047254 289.682539 0.020906
357.062203 294.813743 0.022019
357.445927 300.284914 0.022976
358.663325 305.377699 0.023463
360.882316 310.415181 0.023519
364.468577 314.706390 0.023051
368.598881 318.205289 0.022025
373.230985 320.647798 0.020498
378.236921 320.991901 0.018398
383.241857 320.291836 0.015587
387.557492 317.234554 0.012811
390.548594 312.812348 0.009952
392.731746 307.918331 0.007825
393.865554 302.873999 0.006071
394.011088 297.540087 0.004919
393.945022 292.071214 0.004428
394.139774 286.954513 0.004033
393.981964 281.588836 0.003733
393.360074 276.496033 0.003653
392.223787 271.348145 0.003795
390.408073 266.305203 0.004196
388.366236 261.548938 0.004793
386.058033 257.017280 0.005605
382.027855 253.440303 0.006969
377.146952 251.178326 0.008572
372.073185 249.378440 0.010329
366.847445 249.641322 0.012240
361.974918 250.901232 0.013979
356.776387 252.752494 0.015971
352.433823 255.600715 0.017850
347.910234 259.635144 0.019848
344.335762 263.297868 0.021600
340.986651 268.372975 0.023390
338.438593 273.051912 0.024826
336.285184 277.983534 0.026251
